Japanese,English,Reading
いる,to be (verb - animate),イル
こと,thing/matter,コト
の,of (possessive particle),ノ
する,to do (verb),スル
ある,to be/exist (verb - inanimate),アル
なる,to become (verb),ナル
よう,appearance/manner,ヨウ
その,that (pre-noun),ソノ
できる,can/to be able (verb),デキル
この,this (pre-noun),コノ
思う,to think (verb),オモウ
言う,to say (verb),イウ
もの,thing/object,モノ
ため,for the sake of,タメ
人,person/people,ヒト
場合,case/situation,バアイ
ない,to not exist/not have (verb),ナイ
くる,to come (verb),クル
とき,time/when,トキ
自分,myself/oneself,ジブン
いく,to go (verb),イク
ほう,direction/method,ホウ
行う,to perform/conduct (verb),オコナウ
ん,(informal sentence ending),ン
下さる,to give (honorific verb),クダサル
見る,to see/look (verb),ミル
よい,good (adj),ヨイ
考える,to think (verb),カンガエル
必要な,necessary (adj),ヒツヨウナ
必要,necessity,ヒツヨウ
しまう,to finish/put away (verb),シマウ
なか,inside,ナカ
多い,many/numerous (adj),オオイ
持つ,to have/hold (verb),モツ
おる,to be (humble verb),オル
月,moon/month,ツキ
今,now,イマ
分かる,to understand (verb),ワカル
問題,problem/question,モンダイ
いい,good (adj),イイ
情報,information,ジョウホウ
ところ,place,トコロ
使う,to use (verb),ツカウ
他,other/another,ホカ
出る,to go out/exit (verb),デル
いただく,to receive (humble verb),イタダク
みる,to see/look (verb),ミル
子供,child,コドモ
どう,how,ドウ
前,front/before,マエ
本,book,ホン
力,power/strength,チカラ
時間,time/hour,ジカン
可能な,possible (adj),カノウナ
可能,possibility,カノウ
作る,to make (verb),ツクル
やる,to do (verb - casual),ヤル
家,home,ウチ
社会,society,シャカイ
受ける,to receive (verb),ウケル
くれる,to give (verb - to me),クレル
関係,relationship,カンケイ
知る,to know (verb),シル
体,body,カラダ
高い,high/expensive (adj),タカイ
わけ,reason,ワケ
入る,to enter (verb),ハイル
以上,more than/that's all,イジョウ
行く,to go (verb),イク
聞く,to listen/ask (verb),キク
気,spirit/mood,キ
同じ,same (adj),オナジ
てる,(casual progressive form),テル
上,above,ウエ
生活,daily life,セイカツ
全て,all,スベテ
世界,world,セカイ
方法,method,ホウホウ
研究,research,ケンキュウ
感じる,to feel (verb),カンジル
一つ,one,ヒトツ
事業,business,ジギョウ
地域,region,チイキ
利用,use,リヨウ
仕事,work,シゴト
書く,to write (verb),カク
そう,so/that way,ソウ
企業,company,キギョウ
環境,environment,カンキョウ
さらに,furthermore,サラニ
来る,to come (verb),クル
現在,present/now,ゲンザイ
話,talk/story,ハナシ
のち,later/after,ノチ
活動,activity,カツドウ
人間,human,ニンゲン
内容,content,ナイヨウ
大きい,big (adj),オオキイ
保険,insurance,ホケン
結果,result,ケッカ
状態,condition,ジョウタイ
心,heart/mind,ココロ
言葉,word/language,コトバ
しれる,to become known (verb),シレル
どの,which,ドノ
教育,education,キョウイク
やすい,easy/cheap (adj),ヤスイ
状況,situation,ジョウキョウ
意味,meaning,イミ
特に,especially,トクニ
重要な,important (adj),ジュウヨウナ
重要,importance,ジュウヨウ
おく,to put (verb),オク
技術,technology,ギジュツ
管理,management,カンリ
時代,era,ジダイ
部分,part,ブブン
個人,individual,コジン
もう,already,モウ
大きな,big (adj),オオキナ
少し,a little,スコシ
違う,to differ (verb),チガウ
先生,teacher,センセイ
とても,very,トテモ
サービス,service,サービス
女性,woman,ジョセイ
強い,strong (adj),ツヨイ
効果,effect,コウカ
得る,to obtain (verb),エル
今回,this time,コンカイ
そんな,such,ソンナ
見える,to be visible (verb),ミエル
学校,school,ガッコウ
基本,basics,キホン
実際,reality,ジッサイ
出す,to take out (verb),ダス
様々な,various (adj),サマザマナ
様々,various,サマザマ
手,hand,テ
目,eye,メ
入れる,to put in (verb),イレル
次,next,ツギ
日,day,ヒ
もらう,to receive (verb),モラウ
一般,general,イッパン
委員,committee member,イイン
以下,below,イカ
致す,to do (humble verb),イタス
間,interval/between,アイダ
つく,to arrive (verb),ツク
言える,to be sayable (verb),ユエル
国,country,クニ
経済,economy,ケイザイ
目的,purpose,モクテキ
変わる,to change (verb),カワル
自然な,natural (adj),シゼンナ
自然,nature,シゼン
制度,system,セイド
障害,obstacle,ショウガイ
治療,treatment,チリョウ
場所,place,バショ
車,car,クルマ
労働,labor,ロウドウ
やはり,as expected,ヤハリ
調査,investigation,チョウサ
商品,product,ショウヒン
そういう,that kind of,ソウイウ
読む,to read (verb),ヨム
後,after,アト
呼ぶ,to call (verb),ヨブ
医療,medical care,イリョウ
よく,often,ヨーク
システム,system,システム
まず,first of all,マズ
者,person,モノ
対象,target,タイショウ
少ない,few (adj),スクナイ
大切な,important (adj),タイセツナ
大切,importance,タイセツ
